Model,DPO2014B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.04,
Sample Interval,3.2e-06,
Filter Frequency,1e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH1,CH1 Peak Detect
-4.44000e-02,2.68221e-09,0.04
-4.43968e-02,2.68221e-09,-0.04
-4.43936e-02,2.68221e-09,0.04
-4.43904e-02,2.68221e-09,-0.04
-4.43872e-02,2.68221e-09,0.04
-4.43840e-02,2.68221e-09,-0.04
-4.43808e-02,2.68221e-09,0.04
-4.43776e-02,2.68221e-09,-0.04
-4.43744e-02,2.68221e-09,0.04
-4.43712e-02,2.68221e-09,-0.04
-4.43680e-02,2.68221e-09,0.04
-4.43648e-02,2.68221e-09,-0.04
-4.43616e-02,2.68221e-09,0.04
-4.43584e-02,2.68221e-09,-0.08
-4.43552e-02,2.68221e-09,0.04
-4.43520e-02,2.68221e-09,-0.04
-4.43488e-02,2.68221e-09,0.04
-4.43456e-02,2.68221e-09,-0.04
-4.43424e-02,2.68221e-09,0.04
-4.43392e-02,2.68221e-09,-0.04
-4.43360e-02,2.68221e-09,0.04
-4.43328e-02,2.68221e-09,-0.04
-4.43296e-02,2.68221e-09,0.04
-4.43264e-02,2.68221e-09,-0.04
-4.43232e-02,2.68221e-09,0.04
-4.43200e-02,2.68221e-09,-0.04
-4.43168e-02,2.68221e-09,0.04
-4.43136e-02,2.68221e-09,-0.04
-4.43104e-02,2.68221e-09,0.04
-4.43072e-02,2.68221e-09,-0.04
-4.43040e-02,2.68221e-09,0.04
-4.43008e-02,2.68221e-09,-0.04
-4.42976e-02,2.68221e-09,0.04
-4.42944e-02,2.68221e-09,-0.04
-4.42912e-02,2.68221e-09,0.04
-4.42880e-02,2.68221e-09,-0.04
-4.42848e-02,2.68221e-09,0.04
-4.42816e-02,2.68221e-09,-0.04
-4.42784e-02,2.68221e-09,0.04
-4.42752e-02,2.68221e-09,-0.04
-4.42720e-02,2.68221e-09,0.04
-4.42688e-02,2.68221e-09,-0.04
-4.42656e-02,2.68221e-09,0.04
-4.42624e-02,2.68221e-09,-0.04
-4.42592e-02,2.68221e-09,0.04
-4.42560e-02,2.68221e-09,-0.04
-4.42528e-02,2.68221e-09,0.04
-4.42496e-02,2.68221e-09,-0.04
-4.42464e-02,2.68221e-09,0.04
-4.42432e-02,2.68221e-09,-0.04
-4.42400e-02,2.68221e-09,0.04
-4.42368e-02,2.68221e-09,-0.04
-4.42336e-02,2.68221e-09,0.04
-4.42304e-02,2.68221e-09,-0.04
-4.42272e-02,2.68221e-09,0.04
-4.42240e-02,2.68221e-09,-0.04
-4.42208e-02,2.68221e-09,0.04
-4.42176e-02,2.68221e-09,-0.04
-4.42144e-02,2.68221e-09,0.04
-4.42112e-02,2.68221e-09,-0.04
-4.42080e-02,2.68221e-09,0.04
-4.42048e-02,2.68221e-09,-0.04
-4.42016e-02,2.68221e-09,0.04
-4.41984e-02,2.68221e-09,-0.04
-4.41952e-02,2.68221e-09,0.04
-4.41920e-02,2.68221e-09,-0.04
-4.41888e-02,2.68221e-09,0.04
-4.41856e-02,2.68221e-09,-0.04
-4.41824e-02,2.68221e-09,0.04
-4.41792e-02,2.68221e-09,-0.04
-4.41760e-02,2.68221e-09,0.04
-4.41728e-02,2.68221e-09,-0.04
-4.41696e-02,0.04,0.04
-4.41664e-02,2.68221e-09,-0.04
-4.41632e-02,2.68221e-09,0.04
-4.41600e-02,2.68221e-09,-0.04
-4.41568e-02,2.68221e-09,0.04
-4.41536e-02,2.68221e-09,-0.04
-4.41504e-02,2.68221e-09,0.04
-4.41472e-02,2.68221e-09,-0.04
-4.41440e-02,2.68221e-09,0.04
-4.41408e-02,2.68221e-09,-0.04
-4.41376e-02,2.68221e-09,0.04
-4.41344e-02,2.68221e-09,-0.04
-4.41312e-02,2.68221e-09,0.04
-4.41280e-02,2.68221e-09,-0.04
-4.41248e-02,2.68221e-09,0.04
-4.41216e-02,2.68221e-09,-0.04
-4.41184e-02,2.68221e-09,0.04
-4.41152e-02,2.68221e-09,-0.08
-4.41120e-02,2.68221e-09,0.04
-4.41088e-02,2.68221e-09,-0.04
-4.41056e-02,2.68221e-09,0.04
-4.41024e-02,2.68221e-09,-0.04
-4.40992e-02,2.68221e-09,0.04
-4.40960e-02,2.68221e-09,-0.04
-4.40928e-02,2.68221e-09,0.04
-4.40896e-02,2.68221e-09,-0.04
-4.40864e-02,2.68221e-09,0.04
-4.40832e-02,2.68221e-09,-0.08
-4.40800e-02,2.68221e-09,0.04
-4.40768e-02,2.68221e-09,-0.04
-4.40736e-02,2.68221e-09,0.04
-4.40704e-02,2.68221e-09,-0.04
-4.40672e-02,2.68221e-09,0.04
-4.40640e-02,0.04,-0.08
-4.40608e-02,2.68221e-09,0.04
-4.40576e-02,2.68221e-09,-0.04
-4.40544e-02,2.68221e-09,0.04
-4.40512e-02,2.68221e-09,-0.04
-4.40480e-02,2.68221e-09,0.04
-4.40448e-02,2.68221e-09,-0.04
-4.40416e-02,2.68221e-09,0.04
-4.40384e-02,2.68221e-09,-0.04
-4.40352e-02,2.68221e-09,0.04
-4.40320e-02,2.68221e-09,-0.08
-4.40288e-02,2.68221e-09,0.04
-4.40256e-02,2.68221e-09,-0.04
-4.40224e-02,2.68221e-09,0.04
-4.40192e-02,2.68221e-09,-0.04
-4.40160e-02,2.68221e-09,0.04
-4.40128e-02,2.68221e-09,-0.04
-4.40096e-02,2.68221e-09,0.04
-4.40064e-02,2.68221e-09,-0.04
-4.40032e-02,2.68221e-09,0.04
-4.40000e-02,2.68221e-09,-0.04
-4.39968e-02,2.68221e-09,0.04
-4.39936e-02,2.68221e-09,-0.04
-4.39904e-02,2.68221e-09,0.04
-4.39872e-02,2.68221e-09,-0.04
-4.39840e-02,2.68221e-09,0.04
-4.39808e-02,2.68221e-09,-0.04
-4.39776e-02,2.68221e-09,0.04
-4.39744e-02,2.68221e-09,-0.04
-4.39712e-02,2.68221e-09,0.04
-4.39680e-02,2.68221e-09,-0.08
-4.39648e-02,2.68221e-09,0.04
-4.39616e-02,2.68221e-09,-0.04
-4.39584e-02,2.68221e-09,0.04
-4.39552e-02,2.68221e-09,-0.04
-4.39520e-02,2.68221e-09,0.04
-4.39488e-02,2.68221e-09,-0.04
-4.39456e-02,2.68221e-09,0.04
-4.39424e-02,2.68221e-09,-0.04
-4.39392e-02,2.68221e-09,0.04
-4.39360e-02,2.68221e-09,-0.04
-4.39328e-02,2.68221e-09,0.04
-4.39296e-02,2.68221e-09,-0.08
-4.39264e-02,2.68221e-09,0.04
-4.39232e-02,2.68221e-09,-0.04
-4.39200e-02,2.68221e-09,0.04
-4.39168e-02,2.68221e-09,-0.04
-4.39136e-02,2.68221e-09,0.04
-4.39104e-02,2.68221e-09,-0.04
-4.39072e-02,2.68221e-09,0.04
-4.39040e-02,2.68221e-09,-0.04
-4.39008e-02,2.68221e-09,0.04
-4.38976e-02,2.68221e-09,-0.04
-4.38944e-02,2.68221e-09,0.04
-4.38912e-02,2.68221e-09,-0.04
-4.38880e-02,2.68221e-09,0.04
-4.38848e-02,2.68221e-09,-0.04
-4.38816e-02,2.68221e-09,0.04
-4.38784e-02,2.68221e-09,-0.04
-4.38752e-02,2.68221e-09,0.04
-4.38720e-02,2.68221e-09,-0.04
-4.38688e-02,0.04,0.04
-4.38656e-02,2.68221e-09,-0.04
-4.38624e-02,2.68221e-09,0.04
-4.38592e-02,2.68221e-09,-0.04
-4.38560e-02,2.68221e-09,0.04
-4.38528e-02,2.68221e-09,-0.04
-4.38496e-02,2.68221e-09,0.04
-4.38464e-02,2.68221e-09,-0.04
-4.38432e-02,2.68221e-09,0.04
-4.38400e-02,2.68221e-09,-0.04
-4.38368e-02,2.68221e-09,0.04
-4.38336e-02,2.68221e-09,-0.04
-4.38304e-02,2.68221e-09,0.04
-4.38272e-02,2.68221e-09,-0.04
-4.38240e-02,2.68221e-09,0.04
-4.38208e-02,2.68221e-09,-0.04
-4.38176e-02,2.68221e-09,0.04
-4.38144e-02,2.68221e-09,-0.04
-4.38112e-02,2.68221e-09,0.04
-4.38080e-02,2.68221e-09,-0.04
-4.38048e-02,2.68221e-09,0.04
-4.38016e-02,2.68221e-09,-0.04
-4.37984e-02,2.68221e-09,0.04
-4.37952e-02,2.68221e-09,-0.04
-4.37920e-02,2.68221e-09,0.04
-4.37888e-02,2.68221e-09,-0.04
-4.37856e-02,2.68221e-09,0.04
-4.37824e-02,2.68221e-09,-0.04
-4.37792e-02,2.68221e-09,0.04
-4.37760e-02,2.68221e-09,-0.04
-4.37728e-02,2.68221e-09,0.04
-4.37696e-02,2.68221e-09,-0.04
-4.37664e-02,2.68221e-09,0.04
-4.37632e-02,2.68221e-09,-0.08
-4.37600e-02,0.04,0.04
-4.37568e-02,2.68221e-09,-0.04
-4.37536e-02,2.68221e-09,0.04
-4.37504e-02,2.68221e-09,-0.04
-4.37472e-02,2.68221e-09,0.04
-4.37440e-02,2.68221e-09,-0.04
-4.37408e-02,2.68221e-09,0.04
-4.37376e-02,2.68221e-09,-0.04
-4.37344e-02,2.68221e-09,0.04
-4.37312e-02,2.68221e-09,-0.04
-4.37280e-02,2.68221e-09,0.04
-4.37248e-02,2.68221e-09,-0.04
-4.37216e-02,2.68221e-09,0.04
-4.37184e-02,2.68221e-09,-0.04
-4.37152e-02,2.68221e-09,0.04
-4.37120e-02,2.68221e-09,-0.04
-4.37088e-02,2.68221e-09,0.04
-4.37056e-02,2.68221e-09,-0.04
-4.37024e-02,2.68221e-09,0.04
-4.36992e-02,2.68221e-09,-0.04
-4.36960e-02,2.68221e-09,0.04
-4.36928e-02,2.68221e-09,-0.04
-4.36896e-02,2.68221e-09,0.04
-4.36864e-02,2.68221e-09,-0.04
-4.36832e-02,2.68221e-09,0.04
-4.36800e-02,2.68221e-09,-0.04
-4.36768e-02,2.68221e-09,0.04
-4.36736e-02,2.68221e-09,-0.04
-4.36704e-02,2.68221e-09,0.04
-4.36672e-02,2.68221e-09,-0.04
-4.36640e-02,2.68221e-09,0.04
-4.36608e-02,2.68221e-09,-0.04
-4.36576e-02,2.68221e-09,0.04
-4.36544e-02,2.68221e-09,-0.04
-4.36512e-02,2.68221e-09,0.04
-4.36480e-02,0.04,-0.04
-4.36448e-02,2.68221e-09,0.04
-4.36416e-02,2.68221e-09,-0.08
-4.36384e-02,2.68221e-09,0.04
-4.36352e-02,2.68221e-09,-0.04
-4.36320e-02,2.68221e-09,0.04
-4.36288e-02,2.68221e-09,-0.04
-4.36256e-02,2.68221e-09,0.04
-4.36224e-02,0.04,-0.04
-4.36192e-02,2.68221e-09,0.04
-4.36160e-02,2.68221e-09,-0.04
-4.36128e-02,2.68221e-09,0.04
-4.36096e-02,2.68221e-09,-0.04
-4.36064e-02,0.04,0.04
-4.36032e-02,2.68221e-09,-0.04
-4.36000e-02,2.68221e-09,0.04
-4.35968e-02,2.68221e-09,-0.04
-4.35936e-02,2.68221e-09,0.04
-4.35904e-02,2.68221e-09,-0.04
-4.35872e-02,2.68221e-09,0.04
-4.35840e-02,2.68221e-09,-0.04
-4.35808e-02,2.68221e-09,0.04
-4.35776e-02,2.68221e-09,-0.04
-4.35744e-02,2.68221e-09,0.04
-4.35712e-02,2.68221e-09,-0.04
